ENSG00000000003 ENST00000373020
ENSG00000005889 ENST00000379177
ENSG00000005893 ENST00000434600
ENSG00000005961 ENST00000262407
ENSG00000005981 ENST00000325885
ENSG00000006007 ENST00000353258
ENSG00000006015 ENST00000358607
ENSG00000006016 ENST00000392386
ENSG00000006025 ENST00000007414
ENSG00000006042 ENST00000579849
ENSG00000006047 ENST00000007699
ENSG00000006059 ENST00000007735
ENSG00000006062 ENST00000376926
ENSG00000006071 ENST00000302539
ENSG00000006116 ENST00000005284
ENSG00000006118 ENST00000005286
ENSG00000006125 ENST00000618940
ENSG00000006128 ENST00000319273
ENSG00000006194 ENST00000219069
ENSG00000006210 ENST00000006053
ENSG00000006282 ENST00000006658
ENSG00000006283 ENST00000359106
ENSG00000006327 ENST00000326577
ENSG00000006377 ENST00000518156
ENSG00000006432 ENST00000555993
ENSG00000006451 ENST00000005257
ENSG00000006453 ENST00000005260
ENSG00000006459 ENST00000397560
ENSG00000006468 ENST00000430479
ENSG00000006530 ENST00000355413
ENSG00000006555 ENST00000371276
ENSG00000006576 ENST00000422959
ENSG00000006606 ENST00000394905
ENSG00000006607 ENST00000264042
ENSG00000006611 ENST00000005226
ENSG00000006625 ENST00000275428
ENSG00000006634 ENST00000265728
ENSG00000006638 ENST00000411851
ENSG00000006652 ENST00000403825
ENSG00000006659 ENST00000360675
ENSG00000006712 ENST00000221265
ENSG00000006715 ENST00000310301
ENSG00000006740 ENST00000379672
ENSG00000006744 ENST00000338034
ENSG00000006747 ENST00000297029
ENSG00000006757 ENST00000381042
ENSG00000006788 ENST00000418404
ENSG00000006831 ENST00000357103
ENSG00000006837 ENST00000265334
ENSG00000007001 ENST00000605860
ENSG00000007038 ENST00000005995
ENSG00000007047 ENST00000262891
ENSG00000007062 ENST00000510224
ENSG00000007080 ENST00000597436
ENSG00000007129 ENST00000401445
ENSG00000007168 ENST00000397195
ENSG00000007174 ENST00000262442
ENSG00000007202 ENST00000528896
ENSG00000007216 ENST00000444914
ENSG00000007237 ENST00000432992
ENSG00000007255 ENST00000006275
ENSG00000007264 ENST00000395045
ENSG00000007306 ENST00000006724
ENSG00000007312 ENST00000392795
ENSG00000007314 ENST00000435607
ENSG00000007341 ENST00000358039
ENSG00000007350 ENST00000369915
ENSG00000007372 ENST00000419022
ENSG00000007376 ENST00000561734
ENSG00000007384 ENST00000262316
ENSG00000007392 ENST00000293872
ENSG00000007402 ENST00000479441
ENSG00000007516 ENST00000324385
ENSG00000007520 ENST00000007390
ENSG00000007541 ENST00000026218
ENSG00000007545 ENST00000397412
ENSG00000007866 ENST00000338863
ENSG00000007908 ENST00000333360
ENSG00000007923 ENST00000377577
ENSG00000007933 ENST00000367755
ENSG00000007944 ENST00000356840
ENSG00000007952 ENST00000372966
ENSG00000007968 ENST00000361729
ENSG00000008018 ENST00000262193
ENSG00000008056 ENST00000295987
ENSG00000008083 ENST00000341776
ENSG00000008086 ENST00000379989
ENSG00000008118 ENST00000009105
ENSG00000008130 ENST00000378625
ENSG00000008196 ENST00000393655
ENSG00000008197 ENST00000008391
ENSG00000008226 ENST00000308059
ENSG00000008256 ENST00000350796
ENSG00000008277 ENST00000265727
ENSG00000008282 ENST00000011473
ENSG00000008283 ENST00000392976
ENSG00000008294 ENST00000262013
ENSG00000008300 ENST00000164024
ENSG00000008311 ENST00000393376
ENSG00000008323 ENST00000396988
ENSG00000008324 ENST00000447630
ENSG00000008382 ENST00000599840
ENSG00000008394 ENST00000396209
ENSG00000008405 ENST00000008527
ENSG00000008438 ENST00000008938
ENSG00000008441 ENST00000397661
ENSG00000008513 ENST00000521180
ENSG00000008517 ENST00000534507
ENSG00000008735 ENST00000329492
ENSG00000008838 ENST00000394128
ENSG00000008853 ENST00000519685
ENSG00000008869 ENST00000233099
ENSG00000008952 ENST00000337002
ENSG00000008988 ENST00000519807
ENSG00000009307 ENST00000610726
ENSG00000009335 ENST00000348165
ENSG00000009413 ENST00000358835
ENSG00000009694 ENST00000422452
ENSG00000009709 ENST00000375375
ENSG00000009724 ENST00000400897
ENSG00000009765 ENST00000229447
ENSG00000009780 ENST00000010299
ENSG00000009790 ENST00000367024
ENSG00000009830 ENST00000261534
ENSG00000009844 ENST00000367630
ENSG00000009950 ENST00000313375
ENSG00000009954 ENST00000339594
ENSG00000010017 ENST00000011619
ENSG00000010030 ENST00000340181
ENSG00000010072 ENST00000295050
ENSG00000010165 ENST00000361735
ENSG00000010244 ENST00000394670
ENSG00000010256 ENST00000203407
ENSG00000010270 ENST00000009041
ENSG00000010278 ENST00000382518
ENSG00000010282 ENST00000441594
ENSG00000010292 ENST00000315579
ENSG00000010295 ENST00000619571
ENSG00000010310 ENST00000590918
ENSG00000010318 ENST00000327906
ENSG00000010319 ENST00000231721
ENSG00000010322 ENST00000345716
ENSG00000010327 ENST00000321725
ENSG00000010361 ENST00000313777
ENSG00000010379 ENST00000343164
ENSG00000010404 ENST00000340855
ENSG00000010539 ENST00000431561
ENSG00000010610 ENST00000011653
ENSG00000010626 ENST00000443597
ENSG00000010671 ENST00000621635
ENSG00000010704 ENST00000357618
ENSG00000010803 ENST00000326197
ENSG00000010810 ENST00000354650
ENSG00000010818 ENST00000367603
ENSG00000010932 ENST00000617670
ENSG00000011007 ENST00000418390
ENSG00000011009 ENST00000374514
ENSG00000011021 ENST00000346436
ENSG00000011028 ENST00000303375
ENSG00000011052 ENST00000393193
ENSG00000011083 ENST00000230671
ENSG00000011105 ENST00000011898
ENSG00000011114 ENST00000334746
ENSG00000011132 ENST00000316757
ENSG00000011143 ENST00000393119
ENSG00000011198 ENST00000458276
ENSG00000011201 ENST00000262648
ENSG00000011243 ENST00000397410
ENSG00000011258 ENST00000586178
ENSG00000011260 ENST00000225298
ENSG00000011295 ENST00000261647
ENSG00000011304 ENST00000356948
ENSG00000011332 ENST00000355526
ENSG00000011347 ENST00000540677
ENSG00000011376 ENST00000415258
ENSG00000011405 ENST00000265970
ENSG00000011422 ENST00000340093
ENSG00000011426 ENST00000265748
ENSG00000011454 ENST00000373647
ENSG00000011465 ENST00000052754
ENSG00000011478 ENST00000012049
ENSG00000011485 ENST00000012443
ENSG00000011523 ENST00000377990
ENSG00000011566 ENST00000263881
ENSG00000011590 ENST00000392197
ENSG00000011600 ENST00000262629
ENSG00000011638 ENST00000451578
ENSG00000011677 ENST00000370314
ENSG00000012048 ENST00000471181
ENSG00000012061 ENST00000013807
ENSG00000012124 ENST00000085219
ENSG00000012171 ENST00000611067
ENSG00000012174 ENST00000379484
ENSG00000012211 ENST00000599218
ENSG00000012223 ENST00000231751
ENSG00000012232 ENST00000220562
ENSG00000012504 ENST00000551379
ENSG00000012660 ENST00000370918
ENSG00000012779 ENST00000374391
ENSG00000012817 ENST00000317961
ENSG00000012822 ENST00000550804
ENSG00000012963 ENST00000013070
ENSG00000012983 ENST00000013125
ENSG00000013016 ENST00000322054
ENSG00000013275 ENST00000157812
ENSG00000013288 ENST00000285599
ENSG00000013293 ENST00000231706
ENSG00000013297 ENST00000064724
ENSG00000013306 ENST00000377095
ENSG00000013364 ENST00000395353
ENSG00000013374 ENST00000568733
ENSG00000013375 ENST00000506587
ENSG00000013392 ENST00000369724
ENSG00000013441 ENST00000434813
ENSG00000013503 ENST00000228347
ENSG00000013523 ENST00000251089
ENSG00000013561 ENST00000394520
ENSG00000013563 ENST00000369809
ENSG00000013583 ENST00000014930
ENSG00000013588 ENST00000014914
ENSG00000013619 ENST00000432680
ENSG00000013725 ENST00000313421
ENSG00000013810 ENST00000313288
ENSG00000014123 ENST00000369278
ENSG00000014138 ENST00000265465
ENSG00000014164 ENST00000262577
ENSG00000014216 ENST00000527323
ENSG00000014257 ENST00000351273
ENSG00000014641 ENST00000539945
ENSG00000014824 ENST00000264451
ENSG00000014914 ENST00000439741
ENSG00000014919 ENST00000016171
ENSG00000015133 ENST00000389857
ENSG00000015153 ENST00000327791
ENSG00000015171 ENST00000397962
ENSG00000015285 ENST00000376701
ENSG00000015413 ENST00000393092
ENSG00000015475 ENST00000317361
ENSG00000015479 ENST00000394805
ENSG00000015520 ENST00000289547
ENSG00000015532 ENST00000017003
ENSG00000015592 ENST00000350889
ENSG00000015676 ENST00000355451
ENSG00000016082 ENST00000230658
ENSG00000016391 ENST00000315251
ENSG00000016402 ENST00000316649
ENSG00000016490 ENST00000234701
ENSG00000016602 ENST00000370563
ENSG00000016864 ENST00000266014
ENSG00000017260 ENST00000507488
ENSG00000017427 ENST00000307046
ENSG00000017483 ENST00000595796
ENSG00000018189 ENST00000381006
ENSG00000018236 ENST00000551295
ENSG00000018280 ENST00000233202
ENSG00000018408 ENST00000465804
ENSG00000018510 ENST00000264167
ENSG00000018610 ENST00000536133
ENSG00000018625 ENST00000361216
ENSG00000018699 ENST00000317907
ENSG00000018869 ENST00000301310
ENSG00000019102 ENST00000326621
ENSG00000019144 ENST00000361417
ENSG00000019169 ENST00000327097
ENSG00000019186 ENST00000216862
ENSG00000019485 ENST00000622142
ENSG00000019505 ENST00000020926
ENSG00000019549 ENST00000396822
ENSG00000019582 ENST00000009530
ENSG00000019991 ENST00000222390
ENSG00000019995 ENST00000359653
ENSG00000020129 ENST00000373243
ENSG00000020181 ENST00000412232
ENSG00000020256 ENST00000216923
ENSG00000020426 ENST00000261245
ENSG00000020577 ENST00000392067
ENSG00000020633 ENST00000399916
ENSG00000020922 ENST00000323929
ENSG00000021300 ENST00000354190
ENSG00000021355 ENST00000380739
ENSG00000021461 ENST00000222382
ENSG00000021488 ENST00000023064
ENSG00000021574 ENST00000615843
ENSG00000021645 ENST00000554719
ENSG00000021762 ENST00000263650
ENSG00000021776 ENST00000156471
ENSG00000021826 ENST00000430249
ENSG00000021852 ENST00000371237
ENSG00000022267 ENST00000394155
ENSG00000022277 ENST00000023939
ENSG00000022355 ENST00000393943
ENSG00000022556 ENST00000543010
ENSG00000022567 ENST00000517878
ENSG00000022840 ENST00000325954
ENSG00000022976 ENST00000442396
ENSG00000023041 ENST00000369405
ENSG00000023171 ENST00000456860
ENSG00000023191 ENST00000534797
ENSG00000023228 ENST00000455934
ENSG00000023287 ENST00000025008
ENSG00000023318 ENST00000262455
ENSG00000023330 ENST00000394965
ENSG00000023445 ENST00000263464
ENSG00000023516 ENST00000025301
ENSG00000023572 ENST00000367440
ENSG00000023608 ENST00000216294
ENSG00000023697 ENST00000428559
ENSG00000023734 ENST00000419869
ENSG00000023839 ENST00000370449
ENSG00000023892 ENST00000316637
ENSG00000023902 ENST00000369124
ENSG00000023909 ENST00000370238
ENSG00000024048 ENST00000372899
ENSG00000024422 ENST00000263277
ENSG00000024526 ENST00000456315
ENSG00000024862 ENST00000611852
ENSG00000025039 ENST00000369415
ENSG00000025156 ENST00000368455
ENSG00000025293 ENST00000374012
ENSG00000025423 ENST00000554643
ENSG00000025434 ENST00000616973
ENSG00000025708 ENST00000395681
ENSG00000025770 ENST00000299821
ENSG00000025772 ENST00000372813
ENSG00000025796 ENST00000369002
ENSG00000025800 ENST00000373625
ENSG00000026025 ENST00000544301
ENSG00000026103 ENST00000355740
ENSG00000026297 ENST00000508775
ENSG00000026508 ENST00000428726
ENSG00000026559 ENST00000371571
ENSG00000026652 ENST00000320285
ENSG00000026751 ENST00000368043
ENSG00000026950 ENST00000289361
ENSG00000027001 ENST00000382172
ENSG00000027075 ENST00000332981
ENSG00000027644 ENST00000368195
ENSG00000027697 ENST00000367739
ENSG00000027847 ENST00000029410
ENSG00000027869 ENST00000392306
ENSG00000028116 ENST00000435505
ENSG00000028137 ENST00000376259
ENSG00000028203 ENST00000436874
ENSG00000028277 ENST00000526816
ENSG00000028310 ENST00000467963
ENSG00000028528 ENST00000261889
ENSG00000028839 ENST00000237264
ENSG00000029153 ENST00000266503
ENSG00000029364 ENST00000336643
ENSG00000029534 ENST00000265709
ENSG00000029559 ENST00000226284
ENSG00000029639 ENST00000367166
ENSG00000029725 ENST00000537505
ENSG00000029993 ENST00000325307
ENSG00000030066 ENST00000378460
ENSG00000030304 ENST00000374448
ENSG00000030419 ENST00000434687
ENSG00000030582 ENST00000053867
ENSG00000031003 ENST00000033079
ENSG00000031081 ENST00000264245
ENSG00000031691 ENST00000335783
ENSG00000031698 ENST00000234677
ENSG00000031823 ENST00000340578
ENSG00000032219 ENST00000355431
ENSG00000032389 ENST00000382125
ENSG00000032444 ENST00000414982
ENSG00000032742 ENST00000319980
ENSG00000033030 ENST00000633063
ENSG00000033050 ENST00000222388
ENSG00000033100 ENST00000035307
ENSG00000033122 ENST00000035383
ENSG00000033170 ENST00000360689
ENSG00000033178 ENST00000322244
ENSG00000033327 ENST00000361507
ENSG00000033627 ENST00000264649
ENSG00000033800 ENST00000249636
ENSG00000033867 ENST00000295736
ENSG00000034053 ENST00000558402
ENSG00000034239 ENST00000262103
ENSG00000034510 ENST00000233143
ENSG00000034533 ENST00000514044
ENSG00000034677 ENST00000519449
ENSG00000034693 ENST00000367591
ENSG00000034713 ENST00000037243
ENSG00000034971 ENST00000037502
ENSG00000035115 ENST00000356150
ENSG00000035141 ENST00000037869
ENSG00000035403 ENST00000211998
ENSG00000035499 ENST00000265036
ENSG00000035664 ENST00000261891
ENSG00000035681 ENST00000427130
ENSG00000035687 ENST00000366535
ENSG00000035720 ENST00000265404
ENSG00000035862 ENST00000262768
ENSG00000035928 ENST00000381897
ENSG00000036054 ENST00000394144
ENSG00000036257 ENST00000264414
ENSG00000036448 ENST00000262113
ENSG00000036473 ENST00000039007
ENSG00000036530 ENST00000261835
ENSG00000036549 ENST00000370801
ENSG00000036565 ENST00000440926
ENSG00000036672 ENST00000260187
ENSG00000036828 ENST00000498619
ENSG00000037042 ENST00000251412
ENSG00000037241 ENST00000521476
ENSG00000037280 ENST00000261937
ENSG00000037474 ENST00000264670
ENSG00000037637 ENST00000375592
ENSG00000037749 ENST00000322602
ENSG00000037757 ENST00000040663
ENSG00000037897 ENST00000324871
ENSG00000037965 ENST00000040584
ENSG00000038002 ENST00000264595
ENSG00000038210 ENST00000264864
ENSG00000038219 ENST00000040738
ENSG00000038274 ENST00000321757
ENSG00000038295 ENST00000061240
ENSG00000038358 ENST00000358933
ENSG00000038382 ENST00000344204
ENSG00000038427 ENST00000265077
ENSG00000038532 ENST00000409790
ENSG00000038945 ENST00000262101
ENSG00000039068 ENST00000261769
ENSG00000039123 ENST00000230640
ENSG00000039139 ENST00000265104
ENSG00000039319 ENST00000338008
ENSG00000039523 ENST00000428437
ENSG00000039537 ENST00000263413
ENSG00000039560 ENST00000515799
ENSG00000039600 ENST00000265007
ENSG00000039650 ENST00000322344
ENSG00000039987 ENST00000549706
ENSG00000040199 ENST00000568954
ENSG00000040275 ENST00000265295
ENSG00000040341 ENST00000524300
ENSG00000040487 ENST00000375153
ENSG00000040531 ENST00000381870
ENSG00000040633 ENST00000320316
ENSG00000040731 ENST00000264463
ENSG00000040933 ENST00000074304
ENSG00000041353 ENST00000262094
ENSG00000041357 ENST00000044462
ENSG00000041515 ENST00000457511
ENSG00000041802 ENST00000265245
ENSG00000041880 ENST00000398755
ENSG00000041982 ENST00000350763
ENSG00000041988 ENST00000054650
ENSG00000042062 ENST00000327979
ENSG00000042088 ENST00000335725
ENSG00000042286 ENST00000613322
ENSG00000042304 ENST00000264387
ENSG00000042317 ENST00000393545
ENSG00000042429 ENST00000251871
ENSG00000042493 ENST00000263867
ENSG00000042753 ENST00000601498
ENSG00000042781 ENST00000307340
ENSG00000042813 ENST00000046087
ENSG00000042832 ENST00000220616
ENSG00000042980 ENST00000265769
ENSG00000043039 ENST00000281437
ENSG00000043093 ENST00000292782
ENSG00000043143 ENST00000282605
ENSG00000043355 ENST00000376335
ENSG00000043462 ENST00000046794
ENSG00000043514 ENST00000316891
ENSG00000043591 ENST00000369295
ENSG00000044012 ENST00000372581
ENSG00000044090 ENST00000535468
ENSG00000044115 ENST00000302763
ENSG00000044446 ENST00000379942
ENSG00000044459 ENST00000380647
ENSG00000044524 ENST00000336596
ENSG00000044574 ENST00000324460
ENSG00000046604 ENST00000261590
ENSG00000046647 ENST00000380523
ENSG00000046651 ENST00000340096
ENSG00000046653 ENST00000316715
ENSG00000046774 ENST00000247452
ENSG00000046889 ENST00000288368
ENSG00000047056 ENST00000358220
ENSG00000047188 ENST00000161863
ENSG00000047230 ENST00000443824
ENSG00000047249 ENST00000359530
ENSG00000047315 ENST00000381227
ENSG00000047346 ENST00000546305
ENSG00000047365 ENST00000303965
ENSG00000047410 ENST00000367478
ENSG00000047457 ENST00000264613
ENSG00000047578 ENST00000261588
ENSG00000047579 ENST00000344537
ENSG00000047597 ENST00000378616
ENSG00000047617 ENST00000356134
ENSG00000047621 ENST00000261250
ENSG00000047634 ENST00000380041
ENSG00000047644 ENST00000380861
ENSG00000047648 ENST00000337414
ENSG00000047662 ENST00000265018
ENSG00000047849 ENST00000360240
ENSG00000047932 ENST00000368498
ENSG00000047936 ENST00000368508
ENSG00000048028 ENST00000003302
ENSG00000048052 ENST00000441542
ENSG00000048140 ENST00000310032
ENSG00000048162 ENST00000618911
ENSG00000048342 ENST00000424120
ENSG00000048392 ENST00000251810
ENSG00000048405 ENST00000393313
ENSG00000048462 ENST00000053243
ENSG00000048471 ENST00000566228
ENSG00000048540 ENST00000540445
ENSG00000048544 ENST00000053468
ENSG00000048545 ENST00000394237
ENSG00000048649 ENST00000308488
ENSG00000048707 ENST00000620676
ENSG00000048740 ENST00000542579
ENSG00000048828 ENST00000277165
ENSG00000048991 ENST00000409606
ENSG00000049089 ENST00000372748
ENSG00000049130 ENST00000228280
ENSG00000049167 ENST00000265038
ENSG00000049192 ENST00000381055
ENSG00000049239 ENST00000602477
ENSG00000049245 ENST00000054666
ENSG00000049246 ENST00000613533
ENSG00000049247 ENST00000054668
ENSG00000049249 ENST00000615230
ENSG00000049283 ENST00000268933
ENSG00000049323 ENST00000404816
ENSG00000049449 ENST00000054950
ENSG00000049540 ENST00000358929
ENSG00000049541 ENST00000055077
ENSG00000049618 ENST00000346085
ENSG00000049656 ENST00000320895
ENSG00000049759 ENST00000400345
ENSG00000049768 ENST00000376207
ENSG00000049769 ENST00000055335
ENSG00000049860 ENST00000261416
ENSG00000049883 ENST00000380639
ENSG00000050030 ENST00000055682
ENSG00000050130 ENST00000554271
ENSG00000050165 ENST00000396505
ENSG00000050344 ENST00000056233
ENSG00000050393 ENST00000379170
ENSG00000050405 ENST00000394943
ENSG00000050426 ENST00000418425
ENSG00000050438 ENST00000453097
ENSG00000050555 ENST00000361069
ENSG00000050628 ENST00000356595
ENSG00000050730 ENST00000509841
ENSG00000050748 ENST00000452135
ENSG00000050767 ENST00000390654
ENSG00000050820 ENST00000418647
ENSG00000051009 ENST00000265978
ENSG00000051108 ENST00000439977
ENSG00000051128 ENST00000539827
ENSG00000051180 ENST00000382643
ENSG00000051341 ENST00000264233
ENSG00000051382 ENST00000289153
ENSG00000051523 ENST00000261623
ENSG00000051620 ENST00000607197
ENSG00000051825 ENST00000606320
ENSG00000052126 ENST00000429027
ENSG00000052344 ENST00000317508
ENSG00000052723 ENST00000369528
ENSG00000052749 ENST00000536831
ENSG00000052795 ENST00000264433
ENSG00000052802 ENST00000261507
ENSG00000052841 ENST00000039989
ENSG00000052850 ENST00000329255
ENSG00000053108 ENST00000265342
ENSG00000053254 ENST00000345097
ENSG00000053328 ENST00000338882
ENSG00000053371 ENST00000235835
ENSG00000053372 ENST00000330263
ENSG00000053438 ENST00000062104
ENSG00000053501 ENST00000263897
ENSG00000053524 ENST00000328913
ENSG00000053702 ENST00000337508
ENSG00000053747 ENST00000313654
ENSG00000053770 ENST00000261558
ENSG00000053900 ENST00000510092
ENSG00000053918 ENST00000155840
ENSG00000054116 ENST00000616395
ENSG00000054148 ENST00000247665
ENSG00000054179 ENST00000355097
ENSG00000054219 ENST00000263636
ENSG00000054267 ENST00000264183
ENSG00000054277 ENST00000366554
ENSG00000054282 ENST00000366541
ENSG00000054356 ENST00000295718
ENSG00000054392 ENST00000545154
ENSG00000054523 ENST00000263934
ENSG00000054598 ENST00000380874
ENSG00000054611 ENST00000337137
ENSG00000054654 ENST00000358025
ENSG00000054690 ENST00000329153
ENSG00000054793 ENST00000338821
ENSG00000054796 ENST00000371263
ENSG00000054803 ENST00000064571
ENSG00000054938 ENST00000263671
ENSG00000054965 ENST00000064778
ENSG00000054967 ENST00000064780
ENSG00000054983 ENST00000261304
ENSG00000055044 ENST00000264279
ENSG00000055070 ENST00000401088
ENSG00000055118 ENST00000262186
ENSG00000055130 ENST00000325222
ENSG00000055147 ENST00000351797
ENSG00000055163 ENST00000616178
ENSG00000055208 ENST00000367456
ENSG00000055211 ENST00000367419
ENSG00000055332 ENST00000233057
ENSG00000055483 ENST00000542802
ENSG00000055732 ENST00000370589
ENSG00000055813 ENST00000407595
ENSG00000055917 ENST00000338086
ENSG00000055950 ENST00000342071
ENSG00000055955 ENST00000266041
ENSG00000055957 ENST00000273283
ENSG00000056097 ENST00000265069
ENSG00000056277 ENST00000370978
ENSG00000056291 ENST00000308744
ENSG00000056487 ENST00000313237
ENSG00000056558 ENST00000373887
ENSG00000056586 ENST00000373670
ENSG00000056736 ENST00000288167
ENSG00000056972 ENST00000368761
ENSG00000057019 ENST00000326840
ENSG00000057252 ENST00000367619
ENSG00000057294 ENST00000070846
ENSG00000057468 ENST00000263187
ENSG00000057593 ENST00000375581
ENSG00000057608 ENST00000380191
ENSG00000057657 ENST00000369096
ENSG00000057663 ENST00000369076
ENSG00000057704 ENST00000261226
ENSG00000057757 ENST00000246151
ENSG00000057935 ENST00000405592
ENSG00000058056 ENST00000263966
ENSG00000058063 ENST00000323116
ENSG00000058085 ENST00000264144
ENSG00000058091 ENST00000380050
ENSG00000058262 ENST00000243253
ENSG00000058272 ENST00000450142
ENSG00000058335 ENST00000419573
ENSG00000058404 ENST00000395749
ENSG00000058600 ENST00000299853
ENSG00000058668 ENST00000357681
ENSG00000058673 ENST00000545588
ENSG00000058729 ENST00000283109
ENSG00000058799 ENST00000072644
ENSG00000058804 ENST00000371429
ENSG00000058866 ENST00000265022
ENSG00000059122 ENST00000253928
ENSG00000059145 ENST00000301712
ENSG00000059377 ENST00000416849
ENSG00000059378 ENST00000263549
ENSG00000059573 ENST00000371224
ENSG00000059588 ENST00000040877
ENSG00000059691 ENST00000263985
ENSG00000059728 ENST00000264444
ENSG00000059758 ENST00000261211
ENSG00000059769 ENST00000313525
ENSG00000059804 ENST00000075120
ENSG00000059915 ENST00000020673
ENSG00000060069 ENST00000613122
ENSG00000060138 ENST00000228251
ENSG00000060140 ENST00000075503
ENSG00000060237 ENST00000340908
ENSG00000060339 ENST00000265872
ENSG00000060491 ENST00000290291
ENSG00000060558 ENST00000262958
ENSG00000060566 ENST00000078445
ENSG00000060642 ENST00000374145
ENSG00000060656 ENST00000345512
ENSG00000060688 ENST00000263694
ENSG00000060709 ENST00000261655
ENSG00000060718 ENST00000370096
ENSG00000060749 ENST00000399302
ENSG00000060762 ENST00000360961
ENSG00000060971 ENST00000333167
ENSG00000060982 ENST00000539282
ENSG00000061273 ENST00000080059
ENSG00000061337 ENST00000381569
ENSG00000061455 ENST00000407847
ENSG00000061492 ENST00000506684
ENSG00000061656 ENST00000374273
ENSG00000061676 ENST00000360982
ENSG00000061794 ENST00000081029
ENSG00000061918 ENST00000502959
ENSG00000061936 ENST00000541286
ENSG00000061938 ENST00000381916
ENSG00000061987 ENST00000393630
ENSG00000062038 ENST00000264012
ENSG00000062096 ENST00000381127
ENSG00000062194 ENST00000264779
ENSG00000062282 ENST00000228027
ENSG00000062370 ENST00000337401
ENSG00000062524 ENST00000263800
ENSG00000062582 ENST00000317534
ENSG00000062650 ENST00000298767
ENSG00000062716 ENST00000262291
ENSG00000062725 ENST00000083182
ENSG00000062822 ENST00000440232
ENSG00000063015 ENST00000317338
ENSG00000063046 ENST00000420463
ENSG00000063127 ENST00000335875
ENSG00000063169 ENST00000396720
ENSG00000063176 ENST00000245222
ENSG00000063177 ENST00000549920
ENSG00000063180 ENST00000084798
ENSG00000063241 ENST00000085068
ENSG00000063244 ENST00000308924
ENSG00000063245 ENST00000411543
ENSG00000063322 ENST00000315588
ENSG00000063438 ENST00000316418
